"mu_asc1","mu_asc2","mu_natural","mu_walking","mu_rent","sig_asc1","sig_asc2","sig_natural","sig_walking","sig_rent","logLike"
-10,-10,10,-3,0,5,5,10,5,2,-736.653611933975
-10,-10,10,-3,0,5,5,10,5,2,-736.653611933975
-9.76812121423391,-9.96443450144446,10.6849897839062,-4.45709450820405,-8.32193389751883,5.26533273004601,5.37289799748699,9.88309978862285,2.09676850372752,13.522969948421,-713.947195174297
-9.76819738528841,-9.96365243266802,10.6913520307406,-4.47711399666035,-8.33589106157766,5.26661169162578,5.37423995357443,9.88538605431956,2.02265566617233,13.5462395000974,-713.226761524477
-9.76825863046539,-9.96364661082399,10.6914063214268,-4.47875706054766,-8.33576724295824,5.26667196591238,5.37426232523912,9.88544566611603,2.01832326443872,13.5461628002561,-712.711283952963
-10.0528008027162,-9.8680492720346,12.1129995384221,-1.48072569357749,-6.43955698666097,5.84263746009273,5.74183084635933,9.7866975420084,0.717619378240337,12.3149766976199,-679.167225616038
-10.0473752402225,-9.89901333623758,12.350134368362,-1.17053220922629,-5.95514586991886,5.91783558984975,5.68539727467777,9.74801671624729,0.581522862771667,12.1192004451706,-678.694561350441
-10.0453646066293,-9.90820678756699,12.3758724620359,-1.13234185854522,-5.89689668216016,5.92636156170393,5.68359302425808,9.746940843553,0.564839339236688,12.0948888575144,-678.484584226129
-10.3887052547958,-10.6058758843596,15.29960303793,-1.10629622864597,-0.450373579533601,6.64060084037711,7.81478360863208,9.74150594027712,0.538532101109151,8.89664274448036,-663.513825300987
-10.3886920933007,-10.6056938639776,15.3001840435756,-1.10515976274203,-0.450414743072043,6.64058198705082,7.81459356890319,9.7412221555377,0.537869358158044,8.89645540966027,-663.513635063947
-10.3417644670124,-10.5528951291199,15.435998092726,-1.09009695564594,-0.477598088202781,6.62951064290465,7.76166671540183,9.80392997550367,0.606346322911309,8.77297793792291,-663.498600257559
-10.343624379113,-10.5551076491227,15.4342594645688,-1.1233871185029,-0.477502953276386,6.63255455337242,7.76103348369604,9.80219754414631,0.74040398527896,8.74925131693014,-662.828138009006
-10.3357556402083,-10.5488208265934,15.9224266213745,-1.86817364741784,-0.384995674107219,6.60180566181395,7.86531989304247,9.23378018544011,0.855164261638381,8.08640502347775,-659.782550170707
-10.313309043704,-10.5989025350906,16.9683228088241,-1.69441686739381,-0.373769340347779,6.58031443929014,8.00564539086306,8.21093762037593,1.15719001263292,6.65481012187082,-656.207074033814
-10.1607044827627,-11.0394435113872,18.4062519127216,-1.76944338066123,-1.19267193629611,6.53038227681111,8.05867953131903,6.87158324952519,1.54141150985209,3.53194099009291,-645.329563573591
-10.156566452373,-11.1300562203321,18.6152272875695,-1.80244227978835,-1.43042658113764,6.61182050599195,8.03373819504518,6.82507206111733,1.56043924276469,2.93785813164652,-642.342389453844
-10.1582687450092,-11.7123277408492,20.0639329945874,-2.01541394019727,-3.31126802078367,7.12327040201524,7.86914690399317,6.4006313509539,1.70537984355671,-0.877879375346674,-641.010956268548
-10.1805989953685,-11.7392069398814,20.060201530047,-2.40286586485327,-2.48811402200494,7.13647355349396,7.86963425697723,6.45842852103976,1.56635479099921,-1.69439621438454,-632.53410183726
-10.193472869704,-11.7549557822494,20.0411572284984,-2.49124577365914,-2.64785637946153,7.15443595006746,7.86846973540901,6.54113321445729,1.52457058612222,-1.87976498333949,-631.568452652433
-10.2087559261989,-11.7817438703531,20.0195357801302,-2.60439301899959,-2.69625413045588,7.18088449661229,7.8610197867894,6.66255358325828,1.40851523337197,-1.87100225303775,-630.58541796232
-10.2162692195985,-11.801061643057,20.0048288941065,-2.63791047040802,-2.82836360395201,7.19903860701769,7.85418336103945,6.74480372153958,1.28930820372872,-1.76192729486631,-629.749815576146
-10.2273506204066,-11.8303946249291,19.9923499671916,-2.59982016781687,-2.91678286996869,7.22489530945058,7.84241392926681,6.84021850640378,1.34533169976465,-1.64587367181429,-629.290955869007
-10.247987022591,-11.8696082745977,19.9819327694523,-2.57139048269476,-2.88087143978168,7.255315317186,7.82940195226966,6.97143384526367,1.35106716333456,-1.5332151938928,-628.979140811435
-10.4388956886283,-12.1800772681625,19.8382308705924,-2.40114690102513,-2.84644275609663,7.45861075627513,7.74697430677145,8.08724568394568,1.3899579172518,-1.40277551241184,-627.13115538469
-10.9350548362403,-13.4785409199575,19.8669076329373,-2.81997091188954,-2.70117509225291,8.66963645787931,7.1236681336531,11.2737049426185,1.65695586762031,-1.4212128493457,-624.654539409805
-11.1133905546369,-13.9534429749143,19.929143098848,-2.75034613908126,-2.67076880467674,9.1335805749162,6.89114325291297,12.4335567721679,1.69000703567053,-1.45724360842916,-621.650949482176
-11.6209940665614,-15.2779641295404,20.9613757714077,-1.93625627588126,-2.79710418105557,10.5733045954205,6.2336702017941,14.7089582682161,1.10155736705506,-1.80998399677777,-621.44995507332
-11.7759616697653,-14.6886028982217,21.113569376151,-2.4561435910573,-2.91177048046208,10.0485230876601,6.41969396008426,13.578505394839,1.48907882946345,-1.63473854215332,-619.67607197004
-11.8016743227377,-14.5856191851155,21.1532388861631,-2.48756006327302,-2.917451360551,9.95943623953573,6.4670454518279,13.3874814999171,1.52498253690039,-1.61816937256213,-619.351444581497
-12.281179010272,-14.7028188855927,21.5478922178712,-2.48767817163106,-2.84236789154491,10.1473636903703,6.34041521017603,13.9677952081473,1.57599340685186,-1.6183369670176,-619.008586608434
