"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-12.5199912951362,2.67197467781594,-4.68566989016901,3.73976471516858,-3.34780186688077
"mu_asc2",-12.5696549581844,2.31566557101311,-5.4280959718571,2.73556205658238,-4.59490762709586
"mu_natural",23.427361839599,2.28714822144288,10.2430448625754,3.39850311029975,6.89343545650977
"mu_walking",-2.88311874230279,0.289001077266694,-9.97615223296283,0.379851042551385,-7.59012986495297
"mu_rent",-2.89800641706304,0.119092617148661,-24.3340560183131,0.171955248182425,-16.8532594828894
"sig_asc1",20.4541691113659,2.82985088609118,7.22800244065824,3.87870828394716,5.27344868806446
"sig_asc2",18.3512763242452,2.71556143936695,6.75782033807461,3.80502820261507,4.82290152583703
"sig_natural",16.599266162549,1.78513447005137,9.29860827911264,2.62337462838308,6.32744785398035
"sig_walking",-1.85192370747339,0.239330759462594,-7.73792600513111,0.326154075566291,-5.6780639771493
"sig_rent",-1.08514407588205,0.113501685833714,-9.5605987515625,0.145601654323216,-7.45282792922925
