"mu_asc1","mu_asc2","mu_natural","mu_walking","mu_rent","sig_asc1","sig_asc2","sig_natural","sig_walking","sig_rent","logLike"
-10,-10,10,-3,0,5,5,10,5,2,-2869.69538773141
-10,-10,10,-3,0,5,5,10,5,2,-2869.69538773141
-9.64215924378059,-9.87964478375573,10.709056947886,-3.10301028269316,-6.81215378638339,5.39733570091406,5.04690883922049,9.72743792911196,3.1568219937036,10.2005765577081,-2793.80140476938
-9.49236975563397,-9.89917492912114,11.07944132564,-2.09306256398219,-6.68492309817204,5.5103222310769,5.1239533786806,9.64507631117013,3.27023429281302,10.4250585932336,-2791.99567676816
-9.49240287461976,-9.89921732574564,11.079620053965,-2.09202857655625,-6.68471242751703,5.51037945409028,5.12397118814948,9.64515766779247,3.26981661724312,10.4249996764554,-2791.95448602621
-9.52994487536219,-9.89863958011469,11.0430692844503,-2.04582415351347,-6.54338723236063,5.56044374494132,5.12778918974163,9.74624822888327,3.3247342082392,10.3850761117767,-2791.50089582554
-9.92374569055847,-9.99447672775702,10.7945199452559,-2.12133617732235,-3.93795368816963,6.24976647777583,5.1354750637927,11.3163980573833,2.81337882772761,9.63361132402555,-2734.17174322567
-10.3317066519818,-9.69559329820191,10.7984730655271,-2.21459610846205,-1.51928575550333,6.76241779750092,5.64284856625602,12.7796527650928,2.38352104413459,8.79768038940466,-2690.67154195264
-10.1997680709813,-9.2723724717586,11.1719693956334,-3.17167678532376,-1.52123546044751,6.88116913068244,5.6622650208333,13.2414333579579,-1.70460137233141,8.25041639901045,-2679.93019693422
-10.2359660943235,-9.21671239976172,11.2271987138981,-2.99881971284061,-1.52577419233208,6.87600599245646,5.67165007284817,13.3120107986714,-2.36263841583085,8.14789075732633,-2678.99158012499
-7.85885427712793,-8.99598069618245,13.4148427376931,-2.23019540064915,-0.982251983897275,8.28228509038405,5.49484337395003,13.6623038277744,-2.81739120717482,5.04541366244788,-2605.31312198464
-7.32273936161065,-8.91984357682939,13.9854576681745,-2.0603413187402,-1.19299018878294,8.59560536221998,5.51584592639438,13.7299481968612,-2.90721292797625,3.93322487179398,-2582.50709183112
