"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-21.691179891789,2.91660996999055,-7.43712053204677,3.37378052732579,-6.42933934679576
"mu_asc2",-17.9123790240675,2.36518099736378,-7.57336501689831,2.95539104873757,-6.0609167208918
"mu_natural",22.2206520669798,1.6733162004785,13.2794101082782,2.0094601656814,11.0580206796212
"mu_walking",-3.27314604450399,0.256223014581947,-12.7745981360982,0.30155381344611,-10.8542684541077
"mu_rent",-2.90498366612639,0.111543488821925,-26.0435073065007,0.115747997288987,-25.0974853489133
"sig_asc1",24.5873184165469,2.69575146073201,9.12076605529149,3.25580803086659,7.55183296541061
"sig_asc2",19.0277754430646,1.64198145247055,11.5883010824727,1.68870699599785,11.2676595100035
"sig_natural",19.5232552348057,1.47540422343326,13.2324788859389,1.68532917807086,11.5842385504495
"sig_walking",2.0868518827448,0.161961875623082,12.884834006253,0.181431909411548,11.5021215921347
"sig_rent",1.44576176825711,0.126251607451101,11.4514325595187,0.156434632494127,9.24195458004732
