"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-0.0302049569243248,0.00570339253685036,-5.29596318842981,0.00708308622175706,-4.26437798138677
"mu_asc2",-0.0332441285146328,0.00605971372643854,-5.48608894997607,0.0068424788066206,-4.85849199598055
"mu_natural",0.0288672436670697,0.00357565424239042,8.07327602452167,0.00503880115452627,5.72899044470901
"mu_walking",-0.00322396391441894,0.000423994042562584,-7.60379531498504,0.000561471274536957,-5.74199261944029
"mu_rent",-45.8559783346826,5.04182426768283,-9.09511635076434,6.4610485834437,-7.09729662955755
"sig_asc1",0.0424516746068087,0.00594711236239777,7.13819951935345,0.00838087009150507,5.06530636357652
"sig_asc2",0.0528141962979962,0.00716411574264247,7.3720467668653,0.0117169022837141,4.50752212650994
"sig_natural",0.0237751759147654,0.00314356913478525,7.56311533017694,0.00417806937405589,5.6904693977557
"sig_walking",-0.00216936908945279,0.000281887060015322,-7.69588036192535,0.000370308985545795,-5.85826748507162
"sig_rent",26.9738402480847,3.4096420646672,7.91104747551192,4.10842493111293,6.56549424666689
