"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-0.0313774853791322,0.00574218798993525,-5.46437793992983,0.00798788061872817,-3.92813649537593
"mu_asc2",-0.0302759366518951,0.00512016852133417,-5.91307425248693,0.00582910696028637,-5.19392367615909
"mu_natural",0.0327061030026927,0.00402844005711966,8.1188009599124,0.00537665071842382,6.08298822362049
"mu_walking",-0.00337413792595078,0.000479670301765546,-7.03428566148752,0.000550562638701225,-6.12852687191116
"mu_rent",-41.9235063219314,4.78686150063227,-8.75803620313519,5.93755116628027,-7.06074021896732
"sig_asc1",0.0335332190121853,0.00636697517993636,5.26674253699862,0.0112482571661413,2.98119242091339
"sig_asc2",0.0333742159684157,0.00506362131536814,6.5909778575117,0.00826407072399362,4.03847172695632
"sig_natural",0.0256253050312766,0.00316108950631861,8.10647878842246,0.00401703383546085,6.37916086368658
"sig_walking",0.00257560426497684,0.000403455584493198,6.38386073701816,0.00046549126581836,5.53308827491916
"sig_rent",26.53761644102,3.1598539780137,8.39836797069391,3.78103014094611,7.01862070699591
