"mu_asc1","mu_asc2","mu_natural","mu_walking","mu_rent","sig_asc1","sig_asc2","sig_natural","sig_walking","sig_rent","logLike"
-1,-1,1,-0.2,-2,1,1,1,0.5,1,-1990.85957927009
-1,-1,1,-0.2,-2,1,1,1,0.5,1,-1990.85957927009
-0.993763030143305,-0.986311946667448,1.01125194184937,-0.229100082130898,-2.03174030886752,1.01278674346669,1.02403052863585,1.00557507547446,0.389277616086806,1.02789304978387,-1948.47769979387
-0.973445471367563,-0.939939632453022,1.0560205432231,-0.110190993678645,-2.14095411517056,1.05591481616025,1.10680609626939,1.0119071133555,0.0860477053873234,1.12097317315148,-1848.64177339489
-0.804356923820729,-0.546071537218858,1.14492058249791,-0.0779023257895125,-3.17590734041466,1.45419633639872,1.87586008552412,1.20063088288772,0.118986846894141,1.87097392981137,-1795.42105255612
-0.88483094710195,-0.62533111409616,1.26161686605423,-0.110134881793717,-3.49364153179018,1.61959857573996,2.06474930119955,0.764262603589046,0.135064154537367,1.85398695559404,-1786.03391492627
-1.0196369947001,-0.789540525416928,1.03471956172827,-0.101973645970493,-3.73885983674673,1.75367786364847,2.18533326788673,0.659425761965141,0.107477701918193,1.73351573286587,-1775.0948967509
-1.35249918534777,-1.36087072305152,0.926116730741844,-0.0997529101488002,-3.74263266019577,2.01881399376175,2.22760648568341,0.631272502260185,0.105928293478811,2.12003198151994,-1772.68643070757
-1.39334967335817,-1.42359408032182,0.976965460130516,-0.100403769134256,-3.76835617372688,2.04300964668037,2.2283480070913,0.678157576245805,0.10821248235283,2.10852267437954,-1771.71434626364
-1.57582896712141,-1.29112724311073,0.977201031235075,-0.114402755055604,-3.70292734396361,1.77465859788478,2.44917643047691,0.76734477764164,0.110220755504226,2.07986916012102,-1770.54025737328
-1.31186405810485,-1.17707952574557,0.912921633156617,-0.127675425061616,-3.63068400626501,1.82664069863714,2.47655444701843,0.848560514049384,0.109024203496983,2.00513201226407,-1764.02715768486
-1.32917595527164,-1.12322076107464,0.904316656686886,-0.128345951485434,-3.66985765011929,1.83116420248162,2.36769150132137,0.850797214130597,0.110304829162578,2.0118253944925,-1763.21178061197
-1.08023198196006,-1.24064632837315,0.910294999095101,-0.12651560390549,-3.77819121081136,1.60636767895761,2.22578355176833,0.87292708595587,0.111127456753816,1.97662697643804,-1762.15585124535
-1.03592802882139,-1.06852915660419,0.973110363936726,-0.117630009332026,-3.55952863513982,1.87826504432721,2.22325422343642,0.959562494450602,0.108107696506654,1.75837301207677,-1760.2048776566
-1.11734882793337,-1.02367974589458,0.964838497082555,-0.114424542711586,-3.68556521553368,1.84037529666213,2.0039146018842,0.946001561521383,0.100125687157311,1.80054322407019,-1759.20970827535
-1.14183617326731,-1.03558556537891,0.965180961258899,-0.114191761312048,-3.68409949241125,1.82787900254844,2.00426916368596,0.939193720313278,0.0984348719681244,1.81691356108657,-1758.73171536286
-1.18570485766455,-1.13449238577981,0.979095085686544,-0.12002079052519,-3.58800268344688,1.82428776556529,2.044531633149,0.927705733102916,0.099996990745126,1.82358385618551,-1758.08042964999
-1.17323285773752,-1.1643125051934,0.983922313902604,-0.12030851418012,-3.49293311094104,1.84220045239848,2.07837530837447,0.930484034127474,0.103204315281395,1.7913877924468,-1757.9050376819
-1.15497322289507,-1.12687212329856,0.980761719078422,-0.117691478725199,-3.45420527143803,1.82422124111744,2.05120229002248,0.934531720337512,0.100102027967711,1.72625467525766,-1757.69046548312
-1.15439233920055,-1.12458597714593,0.976770020155139,-0.118087673860229,-3.42232957929176,1.81673555286092,2.03726512722517,0.930582706428188,0.100009547155625,1.69025859628919,-1757.64914811394
-1.15353725065926,-1.12555659979365,0.973944183349034,-0.118168258931504,-3.41798553876809,1.81373221618652,2.03102854666489,0.927330191438058,0.100108469303786,1.68939687196641,-1757.64632970026
-1.1543657667232,-1.12517124486464,0.973276543419073,-0.118198106010794,-3.41841602356612,1.8136288864301,2.03236423090118,0.926491328578127,0.100180415874275,1.68900221112118,-1757.64611698452
-1.15456162481509,-1.12503778527587,0.973119221415107,-0.118138847214332,-3.41860432322764,1.8135048858536,2.03228422265309,0.926257386675988,0.10013306917564,1.68940696212757,-1757.64608903192
-1.15456170208842,-1.125037744229,0.97311922412833,-0.118139459095428,-3.41860430106751,1.81350483630662,2.03228426928564,0.926257366433186,0.100130674372552,1.68940695815303,-1757.64608884815
-1.00000945968725,-0.999994898055402,0.999999473224773,-0.999978741349049,-0.999994353611264,0.99998996243847,1.00000843811971,0.999998705858127,1.00000286481924,0.999996590487334,-1757.64608853817
