"mu_asc1","mu_asc2","mu_natural","mu_walking","mu_rent","logLike"
-10,-10,10,-2,-0.05,-11243.8765757576
-10,-10,10,-2,-0.05,-11243.8765757576
-9.99999632232837,-9.99999600137164,10.0000391231662,-1.99922066443517,-0.0184679423357289,-10908.7427144717
-10.0069316779352,-10.0036531126923,10.1148911625389,-0.637889144942267,-0.0333421745454199,-10139.7532833058
-13.7634067361947,-13.4072392499675,19.2418693008854,-0.837583191332962,-0.0322140535669736,-9936.87539510897
-32.8502437076142,-34.8539285641105,15.5339803093086,-0.510815192422048,-0.0341890508200086,-9682.00175473584
-29.1597550090932,-28.8574084034928,18.1521137503027,-0.863958998938554,-0.0293576521458321,-9616.0301878027
-30.8807033640425,-31.1906530080717,18.5403207893076,-0.687114426530823,-0.0297654197537793,-9603.97213069799
-32.325909790575,-32.9817994806664,18.9127138473731,-0.711441213348386,-0.0290826428057598,-9599.73336874968
-36.2157088184413,-36.7380627716745,20.356456996771,-0.762443591406182,-0.0267777115589581,-9593.53357756594
-39.1026550624317,-39.9530906664202,21.9099455958002,-0.807894267455032,-0.0249813614658377,-9591.16269718723
-40.6183402951417,-41.2586245871248,22.7524609682633,-0.826974568750754,-0.0244886716787395,-9590.14309031942
-41.4009807839873,-42.0874694147261,23.3332594151869,-0.847469738025242,-0.0241030715853642,-9589.92801449974
-41.4009807856215,-42.0874694105033,23.333259438262,-0.847469840535014,-0.0241177550734866,-9589.9269409811
-41.4009753613224,-42.0873746633723,23.3335587231235,-0.848307194313554,-0.024114898520216,-9589.92659594173
-41.3997229638463,-42.0725585757306,23.3837126776916,-0.850895125695064,-0.0240949797099997,-9589.91929448623
-41.4255211822125,-42.0674725402187,23.4055198325268,-0.852287673306662,-0.0240818839833218,-9589.91823713524
-41.4422245944079,-42.0823841950187,23.4165377303925,-0.852739188583677,-0.0240733639788848,-9589.91786268437
-41.5393741496384,-42.1775146758996,23.4670514478594,-0.85433332481685,-0.0240297066491536,-9589.91649771298
-41.5830154398717,-42.2265564746606,23.4836606719365,-0.854552195588669,-0.0240126443597714,-9589.91614191084
-41.5933319248807,-42.2411080960704,23.4844083067263,-0.854348611651329,-0.0240099516165449,-9589.91607651457
-41.5933319254977,-42.241108099784,23.4844082993982,-0.854348585034334,-0.0240099127331872,-9589.91607651212
-41.593330975742,-42.2416295443125,23.4839798608538,-0.854346699495407,-0.0240099370132259,-9589.91607563089
