"mu_asc1","mu_asc2","mu_natural","mu_walking","mu_rent","logLike"
-10,-10,10,-2,-0.05,-4532.87647222342
-10,-10,10,-2,-0.05,-4532.87647222342
-9.99999698796046,-9.99999543197436,10.0000152032562,-1.99974572274227,-0.0367804910129554,-4275.50530404243
-10.048580079051,-10.0200605296578,10.2352981574593,-1.27636707581964,-0.048043432401703,-4213.57085190897
-10.9656002583319,-10.3548974430827,9.90558631785947,-0.94700432664796,-0.0498473295221529,-4174.28770347227
-11.9276458719721,-10.763401853259,10.7428618213896,-1.10645437486532,-0.0441378195691524,-4135.30267092577
-13.2321998915821,-12.1372337509887,11.834781030546,-1.20354378713777,-0.0383010544544105,-4096.60671053113
-18.1177517204236,-15.6390111524237,15.1716043801445,-1.3628268613437,-0.0258721676486462,-4083.13914241105
-17.4383664632383,-14.640896353928,14.2181837883624,-1.04374856601029,-0.0335573545066261,-4057.3388394003
-18.3603395855581,-16.1670581446339,14.9938398487867,-1.10200694114013,-0.0318797925339886,-4050.46545440411
-23.1746209734531,-21.7738908045341,18.048257590511,-1.24084587040113,-0.0268599950553845,-4036.10578053553
-25.5127050546771,-24.5885099197158,19.3936163429467,-1.28536508237844,-0.0261242335916885,-4029.67425047096
-29.5586294387356,-28.5279631927782,21.4909602418546,-1.38241337125975,-0.0245681280623396,-4024.99188446813
-29.5586296731331,-28.5279632199049,21.4909604025728,-1.38241694341468,-0.0248134657261738,-4024.97839642139
-29.5617843112054,-28.5279313459703,21.4922417373159,-1.42520679991059,-0.0246663439881802,-4024.88012889938
-29.9349233168731,-28.4720022382619,22.0413614542616,-1.45803005366328,-0.0242268264511154,-4024.5753199116
-30.5981860424336,-28.6792587807139,22.3292367919884,-1.47134048658405,-0.0239374082224536,-4024.3479298995
-32.3913156773506,-29.6365260302652,22.9922094993812,-1.49946118739695,-0.0232973783666324,-4023.91685668657
-33.6959657406643,-30.7507098096214,23.5064143038877,-1.52069600478441,-0.0228421512312859,-4023.65517886831
-34.8244568452211,-32.1782431402629,24.0559671546652,-1.54407850840105,-0.0223941686816488,-4023.44919965611
-35.1184944097877,-32.914581425783,24.3088593443455,-1.55563348804106,-0.0222121730077603,-4023.39089479883
-35.0435859779225,-33.0613739160839,24.3495338075801,-1.55774885136773,-0.0221912274567591,-4023.38338678553
-34.9646180226132,-33.0315713221055,24.3319947844485,-1.55681512307582,-0.022208023577892,-4023.38281103533
-34.9383498398105,-33.0090731591521,24.3209633232134,-1.55617517799634,-0.0222166534836901,-4023.3827730374
-34.9383498397632,-33.0090731591207,24.3209633232199,-1.55617517719992,-0.0222165420310403,-4023.38277299966
-34.9388211778735,-33.0085972278623,24.3206136526152,-1.55615827852279,-0.0222164629225302,-4023.38277278288
