"mu_asc1","mu_asc2","mu_natural","mu_walking","mu_rent","logLike"
-10,-10,10,-2,-0.05,-2618.14236251838
-10,-10,10,-2,-0.05,-2618.14236251838
-9.99999930363311,-9.99999860776484,10.0000019186469,-1.99980516129891,-0.0404315724942676,-2462.16209659801
-10.2828373502419,-10.214334554902,10.6131491953018,-2.7855247221766,-0.0219949317872458,-2424.05627022393
-12.4320580017231,-11.816469962609,15.7474356781802,-1.3495663916325,-0.041647073838506,-2350.56926729267
-17.0494416185154,-16.0794815773547,15.9211611865292,-1.56754033668984,-0.0307384401526055,-2265.46133785647
-30.7436991687926,-28.8073269625801,18.370894241932,-0.679508492889367,-0.024056652101436,-2189.59755637846
-31.7397355627711,-29.7855118285434,17.3550637502926,-0.391687038312018,-0.0283975233330783,-2188.93161016923
-30.9280596038136,-29.1915691591672,15.9854263056583,-0.633261095402108,-0.0281471862238321,-2177.58204860631
-32.6674140206826,-30.9077880795889,15.1704329329347,-0.616099688802671,-0.027677936646923,-2174.92854292712
-34.1416479668193,-32.3034541935232,14.8869866058839,-0.590499322363728,-0.0271729762533605,-2174.26834885554
-34.8893149691532,-32.9914098123232,14.946114007788,-0.584844498630208,-0.0268694576593637,-2174.02959654713
-37.4849311277389,-35.381060656855,15.4931306354783,-0.584541240103605,-0.0257248825615564,-2173.24305751302
-37.4849311992221,-35.3810607314684,15.4931311940861,-0.584545397660221,-0.0260768153371007,-2173.11624884054
-37.4850769631065,-35.3813091762573,15.5001851317117,-0.620495167703718,-0.0258850800515671,-2173.04248399357
-37.5010188027889,-35.3949423480702,16.5889604165589,-0.654106764711708,-0.0253891625018719,-2172.43970910027
-37.66129819116,-35.6112494260854,16.7572639383229,-0.661162680942326,-0.0252348640288462,-2172.36425680435
-39.538835084177,-38.0244916134367,18.0207266849253,-0.706192927367265,-0.0239089342067791,-2171.8147121759
-41.6470430773909,-40.5464426022738,18.9756207337827,-0.73052038622892,-0.0228848301456988,-2171.41816005975
-44.2545805321163,-43.4018975030475,19.7933305295532,-0.741652738731871,-0.0220202322842224,-2171.06968182964
-45.9944043749006,-45.0317182912764,20.1508414533251,-0.743692540466092,-0.0215425196068278,-2170.94442628442
-46.8362067154553,-45.5874688513349,20.2395930364677,-0.74217972825413,-0.0213904218833637,-2170.90774193898
-47.2880303433092,-45.725030109366,20.2825613254941,-0.742911918622629,-0.0212863647377621,-2170.89251875813
-47.329325813801,-45.4343718780851,20.2289443285121,-0.741550308161966,-0.0213555996454725,-2170.88458827867
-47.3293258104458,-45.4343718664163,20.2289443436162,-0.741550263574504,-0.0213312137706834,-2170.88424705192
-47.329318844151,-45.4342332439901,20.2292631792463,-0.742211968730176,-0.0213288591767386,-2170.88419631213
-47.3280868330262,-45.4104743527061,20.2869081952941,-0.744775789317328,-0.0213195869227581,-2170.88241743679
-47.3312096604497,-45.3996225306239,20.2990107055898,-0.745264347575954,-0.0213139117313776,-2170.88230624598
-47.3351835975481,-45.3914290394424,20.3002227916679,-0.745328420200244,-0.0213132445317535,-2170.88226964915
-47.3429716473274,-45.3755309097417,20.297097329635,-0.745258713294086,-0.0213148207082804,-2170.882227208
-47.3440915505753,-45.3708351011776,20.2937743039438,-0.745154965131634,-0.0213166755279749,-2170.88221936734
-47.3440915505332,-45.3708351011176,20.2937743037305,-0.745154965810153,-0.0213168402262298,-2170.88221930359
-47.3198692083083,-45.3630498985665,20.2906947726154,-0.745159315945007,-0.0213174199030092,-2170.88221802622
