"mu_asc1","mu_asc2","mu_natural","mu_walking","mu_rent","logLike"
-10,-10,10,-2,-0.05,-3082.63821979268
-10,-10,10,-2,-0.05,-3082.63821979268
-10.000000440788,-10.0000008310471,10.0000126415952,-1.99987526861304,-0.0471103746092106,-3069.1717538106
-10.0291553628326,-10.0297277129632,10.2069394050683,-0.723725615858341,-0.0660385376048228,-2966.14129853894
-14.6446611541691,-15.9692813500559,13.9354708410995,-1.667829889754,-0.0417487085609303,-2927.8818869916
-18.6878766324501,-20.6957416872508,11.3236534023662,-1.0607659075259,-0.0453970294258709,-2904.28643767102
-21.4952584836579,-22.8745897339695,14.9193305911393,-1.18187565947605,-0.0389807350235256,-2880.85938331184
-23.1480832511439,-24.6282945726562,16.2803229162265,-1.08497896430279,-0.0404162703928954,-2877.67214914329
-24.9095495234733,-26.3723449186061,17.2135861659329,-1.14773778346416,-0.0367318884309598,-2874.41420156768
-26.1696064519738,-27.7003744348819,17.9991242571001,-1.20891706636023,-0.0351048856778042,-2873.43061043988
-28.3470957864377,-29.9724439415079,19.1743761679886,-1.2986049988666,-0.0333552119106657,-2872.11194008956
-29.8593719977125,-31.5307191170248,19.8535860902044,-1.3371251662944,-0.0324854040836825,-2871.70567273142
-30.8242243823548,-32.5319788693099,20.2948889643619,-1.35829438292716,-0.0318093188008572,-2871.63801687663
-30.8242243958782,-32.5319788851048,20.2948889863677,-1.35829462372519,-0.0318600089653538,-2871.63543780417
-30.8242690153384,-32.5320678943341,20.2949314009235,-1.35868786445083,-0.0318583046999776,-2871.63542636632
-30.8242690184957,-32.5320679003162,20.2949314041835,-1.35868789571499,-0.0318597378123768,-2871.63542433959
-30.8323407184432,-32.5501807111144,20.300933021861,-1.35869187313172,-0.0318598285598849,-2871.63521500743
-30.8692913467434,-32.6199189583866,20.3218138991876,-1.35855234149222,-0.0318180780054066,-2871.63458612501
-31.0920194563596,-32.741597636224,20.3985090229067,-1.36102383295197,-0.0317102027201049,-2871.63451434945
-31.1374111559588,-32.8024736287096,20.4334401182525,-1.36572521926915,-0.0316548666560141,-2871.63394389163
-31.1404012034335,-32.8073643327895,20.4508052508875,-1.36645528406636,-0.0316426164042759,-2871.63388293031
-31.0382353222626,-32.7652498416879,20.4123464395067,-1.3646147689687,-0.0316992347927967,-2871.63307702294
-31.0396864272193,-32.7659607656744,20.4128024831847,-1.36463434245508,-0.0316982066017842,-2871.63307677908
