"mu_asc1","mu_asc2","mu_natural","mu_walking","mu_rent","logLike"
-1,-1,1,-0.01,-0.1,-3611.75129505691
-1,-1,1,-0.01,-0.1,-3611.75129505691
-1.00010047539567,-1.00018075286687,0.997774239258143,-0.0242251652986375,-0.0718842543907417,-3269.42083942336
-0.999930533793702,-1.00018369621816,0.995337247045761,-0.0132745312733552,-0.0564545906884854,-3185.63905732949
-0.999138420701792,-1.02491549988286,0.697418175915124,-0.00511339064339832,-0.0512079523101639,-2976.24020832122
-0.543060893590808,-0.438750582764507,0.570062378421123,-0.0149450381689023,-0.0535389584115664,-2962.2514470971
-0.445855939929426,-0.501317628279272,0.572161763130906,-0.0157132079639508,-0.0527629134969636,-2957.36237728112
-0.592433044790471,-0.605934033730806,0.541512211726044,-0.0205722992905636,-0.0369571017710954,-2824.34441040341
-0.933909555151506,-0.917650066372567,0.488764806317824,-0.0275162317890987,-0.0197176740793283,-2756.54515941855
-0.913050479643444,-0.900567544322919,0.521886445319443,-0.0292193430310495,-0.0226225370473568,-2754.87731098176
-0.893195475966297,-0.880084492734101,0.518160755927502,-0.0292186306455245,-0.0216513850007037,-2754.66085213579
-0.897244535427802,-0.882305019052483,0.512211190490879,-0.0292520747154846,-0.0219404924836854,-2754.61926397561
-0.898132489598201,-0.88429852849457,0.514805359477448,-0.0292934273889124,-0.0218863222229757,-2754.6130565559
-0.898132248605556,-0.88429815076564,0.514804672339012,-0.0292930614767866,-0.0218784437969388,-2754.61304339864
-0.898038897346817,-0.884143674609375,0.51469208676887,-0.0292933168109607,-0.0218782907957229,-2754.61300273081
